"['Tinggi', 'Siang', 'Berawan', 'Rendah', 'Tidak']"
"['Rendah', 'Siang', 'Hujan', 'Tinggi', 'Ya']"
"['Normal', 'Pagi', 'Hujan', 'Tinggi', 'Tidak']"
"['Tinggi', 'Siang', 'Hujan', 'Normal', 'Tidak']"
"['Rendah', 'Malam', 'Hujan', 'Rendah', 'Ya']"
"['Normal', 'Sore', 'Cerah', 'Normal', 'Tidak']"
"['Tinggi', 'Siang', 'Rintik', 'Rendah', 'Tidak']"
"['Rendah', 'Siang', 'Cerah', 'Rendah', 'Ya']"
"['Normal', 'Siang', 'Cerah', 'Rendah', 'Tidak']"
"['Tinggi', 'Siang', 'Hujan', 'Rendah', 'Tidak']"
"['Tinggi', 'Sore', 'Cerah', 'Tinggi', 'Tidak']"
"['Normal', 'Siang', 'Cerah', 'Tinggi', 'Tidak']"
"['Rendah', 'Pagi', 'Berawan', 'Normal', 'Ya']"
"['Rendah', 'Malam', 'Rintik', 'Tinggi', 'Ya']"
"['Normal', 'Siang', 'Hujan', 'Normal', 'Tidak']"
"['Tinggi', 'Malam', 'Cerah', 'Tinggi', 'Tidak']"
"['Rendah', 'Malam', 'Berawan', 'Rendah', 'Ya']"
"['Rendah', 'Sore', 'Rintik', 'Normal', 'Ya']"
"['Tinggi', 'Siang', 'Cerah', 'Rendah', 'Tidak']"
"['Rendah', 'Malam', 'Rintik', 'Normal', 'Ya']"
